gene,ORF,ANCvsEVO,lines,source_96plate,source_96well,ambigous,ploidy_curated,comment,ancestors,genseq_VS_bela_ambi,missing,missingWT,ploidy_semifinal,Bela_ploidy,ploidy_of_ancestors,ploidy_of_genseq_VS_bela_ambi,ploidy_of_missing,ploidy_of_missingWT,ploidy_of_ploidy_semifinal,ploidy_of_Bela_ploidy,WGS
NPL3,YDR432W,evolved.1,NPL3.YDR432W.evolved.1,1C,B7,NA,hap,NA,NA,NA,NA,NA,hapa,NA,NA,NA,NA,NA,1,NA,NA
NPL3,YDR432W,evolved.2,NPL3.YDR432W.evolved.2,1B,D7,NA,hap,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
NUP120,YKL057C,ancestor,NUP120.YKL057C.ancestor,2C,D6,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
NUP120,YKL057C,evolved.1,NUP120.YKL057C.evolved.1,2C,D6,NA,hap,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
NUP120,YKL057C,evolved.2,NUP120.YKL057C.evolved.2,2A,H7,NA,dip,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
PCP1,YGR101W,ancestor,PCP1.YGR101W.ancestor,2A,B11,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
PCP1,YGR101W,evolved.1,PCP1.YGR101W.evolved.1,2A,B11,NA,dip,NA,NA,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA
PDB1,YBR221C,ancestor,PDB1.YBR221C.ancestor,1C,F11,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
PDB1,YBR221C,evolved.1,PDB1.YBR221C.evolved.1,1C,F11,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
PDB1,YBR221C,evolved.2,PDB1.YBR221C.evolved.2,1B,C3,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
PHO88,YBR106W,ancestor,PHO88.YBR106W.ancestor,5B,H2,NA,dip,NA,dip,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
PHO88,YBR106W,evolved.1,PHO88.YBR106W.evolved.1,5B,H2,NA,dip,NA,NA,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA
PHO88,YBR106W,evolved.2,PHO88.YBR106W.evolved.2,5C,F1,NA,dip,NA,NA,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA
PIH1,YHR034C,ancestor,PIH1.YHR034C.ancestor,2B,E8,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
PIH1,YHR034C,evolved.1,PIH1.YHR034C.evolved.1,2B,E8,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
PIH1,YHR034C,evolved.2,PIH1.YHR034C.evolved.2,2C,C8,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
PRS3,YHL011C,ancestor,PRS3.YHL011C.ancestor,4C,E1,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
PRS3,YHL011C,evolved.1,PRS3.YHL011C.evolved.1,4C,E1,NA,hap,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
PTC1,YDL006W,ancestor,PTC1.YDL006W.ancestor,5B,B8,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
PTC1,YDL006W,evolved.1,PTC1.YDL006W.evolved.1,5B,B8,NA,dip,NA,NA,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA
PTC1,YDL006W,evolved.2,PTC1.YDL006W.evolved.2,5B,H6,NA,dip,NA,NA,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA
RAD52,YML032C,ancestor,RAD52.YML032C.ancestor,1A,A10,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
RAD52,YML032C,evolved.1,RAD52.YML032C.evolved.1,1A,A10,NA,hap,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
RAD52,YML032C,evolved.2,RAD52.YML032C.evolved.2,1B,E12,NA,hap,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
RAD54,YGL163C,ancestor,RAD54.YGL163C.ancestor,5C,A9,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
RAD54,YGL163C,evolved.1,RAD54.YGL163C.evolved.1,5C,A9,NA,hap,NA,NA,NA,NA,NA,hapa,NA,NA,NA,NA,NA,1,NA,NA
RMI1,YPL024W,ancestor,RMI1.YPL024W.ancestor,5B,D10,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
RMI1,YPL024W,evolved.1,RMI1.YPL024W.evolved.1,5B,D10,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
RPL13A,YDL082W,ancestor,RPL13A.YDL082W.ancestor,5A,E2,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
RPL13A,YDL082W,evolved.1,RPL13A.YDL082W.evolved.1,5A,E2,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
RPL13A,YDL082W,evolved.2,RPL13A.YDL082W.evolved.2,5B,C1,NA,dip,NA,NA,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA
RPL16B,YNL069C,ancestor,RPL16B.YNL069C.ancestor,6B,B4,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
RPL16B,YNL069C,evolved.1,RPL16B.YNL069C.evolved.1,6B,B4,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
RPL7A,YGL076C,ancestor,RPL7A.YGL076C.ancestor,3B,A11,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
RPL7A,YGL076C,evolved.1,RPL7A.YGL076C.evolved.1,3B,A11,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
RPL7A,YGL076C,evolved.2,RPL7A.YGL076C.evolved.2,3C,E9,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
RPP1B,YDL130W,ancestor,RPP1B.YDL130W.ancestor,4C,B8,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
RPP1B,YDL130W,evolved.1,RPP1B.YDL130W.evolved.1,4C,B8,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
RPP1B,YDL130W,evolved.2,RPP1B.YDL130W.evolved.2,4B,D9,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
RPP2B,YDR382W,ancestor,RPP2B.YDR382W.ancestor,1B,D2,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
RPP2B,YDR382W,evolved.1,RPP2B.YDR382W.evolved.1,1B,D2,NA,hap,NA,NA,NA,NA,NA,hapa,NA,NA,NA,NA,NA,1,NA,NA
RPS30B,YOR182C,ancestor,RPS30B.YOR182C.ancestor,2B,A6,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
RPS30B,YOR182C,evolved.1,RPS30B.YOR182C.evolved.1,2B,A6,NA,hap,NA,NA,NA,NA,NA,hapa,NA,NA,NA,NA,NA,1,NA,NA
RPS30B,YOR182C,evolved.2,RPS30B.YOR182C.evolved.2,2C,E4,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
RPS4A,YJR145C,ancestor,RPS4A.YJR145C.ancestor,4B,H9,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
RPS4A,YJR145C,evolved.1,RPS4A.YJR145C.evolved.1,4B,H9,NA,hap,NA,NA,NA,NA,NA,hapa,NA,NA,NA,NA,NA,1,NA,NA
RPS4A,YJR145C,evolved.2,RPS4A.YJR145C.evolved.2,4B,B11,NA,hap,NA,NA,NA,NA,NA,hapa,NA,NA,NA,NA,NA,1,NA,NA
RPS6B,YBR181C,ancestor,RPS6B.YBR181C.ancestor,1A,E1,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
RPS6B,YBR181C,evolved.1,RPS6B.YBR181C.evolved.1,1A,E1,NA,dip,NA,NA,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA
RPS6B,YBR181C,evolved.2,RPS6B.YBR181C.evolved.2,1C,F9,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
RPS7A,YOR096W,ancestor,RPS7A.YOR096W.ancestor,4C,C7,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
RPS7A,YOR096W,evolved.1,RPS7A.YOR096W.evolved.1,4C,C7,NA,hap,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
RPS9B,YBR189W,ancestor,RPS9B.YBR189W.ancestor,5A,H2,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
RPS9B,YBR189W,evolved.1,RPS9B.YBR189W.evolved.1,5A,H2,NA,dip,NA,NA,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA
RPS9B,YBR189W,evolved.2,RPS9B.YBR189W.evolved.2,5A,A11,NA,dip,NA,NA,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA
RSM27,YGR215W,ancestor,RSM27.YGR215W.ancestor,2A,G6,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
RSM27,YGR215W,evolved.1,RSM27.YGR215W.evolved.1,2A,G6,NA,hap,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
RSM27,YGR215W,evolved.2,RSM27.YGR215W.evolved.2,2C,C6,NA,hap,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
RTT101,YJL047C,ancestor,RTT101.YJL047C.ancestor,4A,H11,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
RTT101,YJL047C,evolved.1,RTT101.YJL047C.evolved.1,4A,H11,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
RTT101,YJL047C,evolved.2,RTT101.YJL047C.evolved.2,4C,D10,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
RTT109,YLL002W,ancestor,RTT109.YLL002W.ancestor,1A,A4,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
RTT109,YLL002W,evolved.1,RTT109.YLL002W.evolved.1,1A,A4,NA,hap,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
SAC1,YKL212W,ancestor,SAC1.YKL212W.ancestor,3B,H6,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
SAC1,YKL212W,evolved.1,SAC1.YKL212W.evolved.1,3B,H6,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
SAC1,YKL212W,evolved.2,SAC1.YKL212W.evolved.2,3B,B8,NA,hap,NA,NA,NA,hapa,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
SFP1,YLR403W,ancestor,SFP1.YLR403W.ancestor,5C,H2,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
SFP1,YLR403W,evolved.1,SFP1.YLR403W.evolved.1,5C,H2,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
SIC1,YLR079W,ancestor,SIC1.YLR079W.ancestor,1C,C11,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
SIC1,YLR079W,evolved.1,SIC1.YLR079W.evolved.1,1C,C11,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
SIC1,YLR079W,evolved.2,SIC1.YLR079W.evolved.2,1A,A9,NA,hap,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
SIN3,YOL004W,ancestor,SIN3.YOL004W.ancestor,1C,E8,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
SIN3,YOL004W,evolved.1,SIN3.YOL004W.evolved.1,1C,E8,NA,dip,NA,NA,NA,NA,NA,dipa,NA,NA,NA,NA,NA,2,NA,NA
SIN3,YOL004W,evolved.2,SIN3.YOL004W.evolved.2,1B,G8,NA,dip,NA,NA,NA,NA,NA,dipa,NA,NA,NA,NA,NA,2,NA,NA
SIT4,YDL047W,ancestor,SIT4.YDL047W.ancestor,6A,F7,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
SIT4,YDL047W,evolved.1,SIT4.YDL047W.evolved.1,6A,F7,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
SIT4,YDL047W,evolved.2,SIT4.YDL047W.evolved.2,6B,D7,NA,hap,NA,NA,NA,hapa,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
SLM5,YCR024C,ancestor,SLM5.YCR024C.ancestor,4B,C7,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
SLM5,YCR024C,evolved.1,SLM5.YCR024C.evolved.1,4B,C7,NA,dip,NA,NA,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA
SLM5,YCR024C,evolved.2,SLM5.YCR024C.evolved.2,4C,A5,NA,hap,NA,NA,NA,hapa,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
SNT309,YPR101W,ancestor,SNT309.YPR101W.ancestor,4C,D4,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
SNT309,YPR101W,evolved.1,SNT309.YPR101W.evolved.1,4C,D4,NA,hap,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
SNT309,YPR101W,evolved.2,SNT309.YPR101W.evolved.2,4B,F4,NA,hap,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
SRB2,YHR041C,ancestor,SRB2.YHR041C.ancestor,4B,G4,NA,hap,NA,hap,NA,NA,NA,hap,NA,1,NA,NA,NA,1,NA,NA
SRB2,YHR041C,evolved.1,SRB2.YHR041C.evolved.1,4B,G4,NA,dip,NA,NA,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA
SRB2,YHR041C,evolved.2,SRB2.YHR041C.evolved.2,4B,A6,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
SSE1,YPL106C,ancestor,SSE1.YPL106C.ancestor,1B,H6,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
SSE1,YPL106C,evolved.1,SSE1.YPL106C.evolved.1,1B,H6,NA,hap,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
SSN3,YPL042C,ancestor,SSN3.YPL042C.ancestor,3B,E8,NA,dip,NA,dip,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
SSN3,YPL042C,evolved.1,SSN3.YPL042C.evolved.1,3B,E8,NA,dip,NA,NA,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA
SSN8,YNL025C,ancestor,SSN8.YNL025C.ancestor,4C,H9,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
SSN8,YNL025C,evolved.1,SSN8.YNL025C.evolved.1,4C,H9,NA,dip,NA,NA,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA
ELO3,YLR372W,ancestor,ELO3.YLR372W.ancestor,2B,B8,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
ELO3,YLR372W,evolved.1,ELO3.YLR372W.evolved.1,2B,B8,NA,hap,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
ELO3,YLR372W,evolved.2,ELO3.YLR372W.evolved.2,2C,F4,NA,hap,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
TCO89,YPL180W,ancestor,TCO89.YPL180W.ancestor,1C,F3,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
TCO89,YPL180W,evolved.1,TCO89.YPL180W.evolved.1,1C,F3,NA,hap,NA,NA,NA,NA,NA,hapa,NA,NA,NA,NA,NA,1,NA,NA
UMP1,YBR173C,ancestor,UMP1.YBR173C.ancestor,6C,H8,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
UMP1,YBR173C,evolved.1,UMP1.YBR173C.evolved.1,6C,H8,NA,dip,NA,NA,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA
UMP1,YBR173C,evolved.2,UMP1.YBR173C.evolved.2,6A,F11,NA,dip,NA,NA,NA,NA,NA,dipa,NA,NA,NA,NA,NA,2,NA,NA
URM1,YIL008W,ancestor,URM1.YIL008W.ancestor,3C,A5,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
URM1,YIL008W,evolved.1,URM1.YIL008W.evolved.1,3C,A5,NA,dip,NA,NA,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA
VID22,YLR373C,ancestor,VID22.YLR373C.ancestor,2A,D9,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
VID22,YLR373C,evolved.1,VID22.YLR373C.evolved.1,2A,D9,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
VPH2,YKL119C,ancestor,VPH2.YKL119C.ancestor,2A,H9,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
VPH2,YKL119C,evolved.1,VPH2.YKL119C.evolved.1,2A,H9,NA,hap,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
VPS16,YPL045W,ancestor,VPS16.YPL045W.ancestor,5C,H5,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
VPS16,YPL045W,evolved.1,VPS16.YPL045W.evolved.1,5C,H5,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
VPS16,YPL045W,evolved.2,VPS16.YPL045W.evolved.2,5C,B7,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
VPS52,YDR484W,ancestor,VPS52.YDR484W.ancestor,5A,E6,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
VPS52,YDR484W,evolved.1,VPS52.YDR484W.evolved.1,5A,E6,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
VPS52,YDR484W,evolved.2,VPS52.YDR484W.evolved.2,5C,G2,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
VPS53,YJL029C,ancestor,VPS53.YJL029C.ancestor,4C,G12,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
VPS53,YJL029C,evolved.1,VPS53.YJL029C.evolved.1,4C,G12,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
VPS53,YJL029C,evolved.2,VPS53.YJL029C.evolved.2,4C,B3,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
XRS2,YDR369C,ancestor,XRS2.YDR369C.ancestor,1C,A9,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
XRS2,YDR369C,evolved.1,XRS2.YDR369C.evolved.1,1C,A9,NA,hap,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
BUD30,YDL151C,ancestor,BUD30.YDL151C.ancestor,4B,D10,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
BUD30,YDL151C,evolved.1,BUD30.YDL151C.evolved.1,4B,D10,NA,hap,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
BUD30,YDL151C,evolved.2,BUD30.YDL151C.evolved.2,4C,B9,1,hap/dip,NA,NA,NA,hapa/dip,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA
RRG1,YDR065W,ancestor,RRG1.YDR065W.ancestor,1C,A4,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
RRG1,YDR065W,evolved.1,RRG1.YDR065W.evolved.1,1C,A4,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
RRG1,YDR065W,evolved.2,RRG1.YDR065W.evolved.2,1B,C6,NA,hap,NA,NA,NA,hapa,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
VPS61,YDR136C,ancestor,VPS61.YDR136C.ancestor,1B,C8,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
VPS61,YDR136C,evolved.1,VPS61.YDR136C.evolved.1,1B,C8,NA,hap,NA,NA,NA,NA,NA,hapa,NA,NA,NA,NA,NA,1,NA,NA
BUD26,YDR241W,ancestor,BUD26.YDR241W.ancestor,2C,B9,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
BUD26,YDR241W,evolved.1,BUD26.YDR241W.evolved.1,2C,B9,NA,hap,NA,NA,NA,NA,NA,hapa,NA,NA,NA,NA,NA,1,NA,NA
AIM10,YER087W,ancestor,AIM10.YER087W.ancestor,6C,D7,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
AIM10,YER087W,evolved.1,AIM10.YER087W.evolved.1,6C,D7,NA,hap,NA,NA,NA,hapa,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
AIM10,YER087W,evolved.2,AIM10.YER087W.evolved.2,6B,F7,NA,hap,NA,NA,NA,hapa,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
NCS6,YGL211W,ancestor,NCS6.YGL211W.ancestor,6A,E12,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
NCS6,YGL211W,evolved.1,NCS6.YGL211W.evolved.1,6A,E12,NA,hap,NA,NA,NA,NA,NA,hapa,NA,NA,NA,NA,NA,1,NA,NA
YGR272C,YGR272C,ancestor,YGR272C.YGR272C.ancestor,6B,G10,NA,hap,NA,hap,NA,NA,hapa,NA,NA,1,NA,NA,1,NA,NA,NA
YGR272C,YGR272C,evolved.1,YGR272C.YGR272C.evolved.1,6B,G10,NA,hap,NA,NA,NA,hapa,hapa,NA,NA,NA,NA,1,1,NA,NA,NA
YGR272C,YGR272C,evolved.2,YGR272C.YGR272C.evolved.2,6B,G10,NA,hap,NA,NA,NA,NA,hapa,NA,NA,NA,NA,NA,1,NA,NA,NA
AIM22,YJL046W,ancestor,AIM22.YJL046W.ancestor,4A,H12,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
AIM22,YJL046W,evolved.1,AIM22.YJL046W.evolved.1,4A,H12,NA,dip,NA,NA,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA
AIM22,YJL046W,evolved.2,AIM22.YJL046W.evolved.2,4C,D11,NA,hap,NA,NA,NA,NA,NA,hapa,NA,NA,NA,NA,NA,1,NA,NA
COA3,YJL062W-A,ancestor,COA3.YJL062W-A.ancestor,6B,H8,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
COA3,YJL062W-A,evolved.1,COA3.YJL062W-A.evolved.1,6B,H8,NA,dip,NA,NA,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA
AIM29,YKR074W,ancestor,AIM29.YKR074W.ancestor,3C,A11,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
AIM29,YKR074W,evolved.1,AIM29.YKR074W.evolved.1,3C,A11,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
VPS65,YLR322W,ancestor,VPS65.YLR322W.ancestor,2A,E8,NA,dip,NA,dip,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
VPS65,YLR322W,evolved.1,VPS65.YLR322W.evolved.1,2A,E8,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
VPS65,YLR322W,evolved.2,VPS65.YLR322W.evolved.2,2C,A6,NA,dip,NA,NA,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA
MRPS12,YNR036C,ancestor,MRPS12.YNR036C.ancestor,4C,C1,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
MRPS12,YNR036C,evolved.1,MRPS12.YNR036C.evolved.1,4C,C1,NA,tet,NA,NA,NA,NA,NA,tet,NA,NA,NA,NA,NA,4,NA,NA
MRPS12,YNR036C,evolved.2,MRPS12.YNR036C.evolved.2,4A,G2,NA,dip,NA,NA,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA
YTA12,YMR089C,ancestor,YTA12.YMR089C.ancestor,3C,B3,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
YTA12,YMR089C,evolved.1,YTA12.YMR089C.evolved.1,3C,B3,NA,dip,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
YTA12,YMR089C,evolved.2,YTA12.YMR089C.evolved.2,3A,F4,NA,dip,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
BEM1,YBR200W,ancestor,BEM1.YBR200W.ancestor,NA,NA,NA,hap,NA,hap,NA,NA,NA,NA,hapa,1,NA,NA,NA,NA,1,1
BEM1,YBR200W,evolved.1,BEM1.YBR200W.evolved.1,1A,E2,NA,dip,NA,NA,NA,NA,NA,dip,dip,NA,NA,NA,NA,2,2,1
BEM1,YBR200W,evolved.2,BEM1.YBR200W.evolved.2,1B,C2,NA,hap,NA,NA,NA,NA,NA,hap,hap,NA,NA,NA,NA,1,1,1
REI1,YBR267W,ancestor,REI1.YBR267W.ancestor,NA,NA,NA,hap,NA,hap,hap,NA,NA,NA,hap,1,1,NA,NA,NA,1,1
REI1,YBR267W,evolved.1,REI1.YBR267W.evolved.1,1A,E4,NA,hap,manual_curated,NA,hap,dip,NA,NA,hap,NA,1,2,NA,NA,1,1
REI1,YBR267W,evolved.2,REI1.YBR267W.evolved.2,1B,C4,NA,hap,NA,NA,hap,NA,NA,hap,hap,NA,1,NA,NA,1,1,1
BIM1,YER016W,ancestor,BIM1.YER016W.ancestor,NA,NA,NA,hap,NA,hap,NA,NA,NA,NA,hap,1,NA,NA,NA,NA,1,1
BIM1,YER016W,evolved.1,BIM1.YER016W.evolved.1,6A,G1,NA,hap,NA,NA,NA,NA,NA,hap,hap,NA,NA,NA,NA,1,1,1
